"id","titel","titelkort","offentlighedskode","nummer","nummerprefix","nummerpostfix","resume","afstemningskonklusion","afgørelsesresultatkode","baggrundsmateriale","opdateringsdato","begrundelse","paragrafnummer","paragraf","afgørelsesdato","afgørelse","rådsmødedato","lovnummerdato","retsinformationsurl","fremsatundersagid","typeid","kategoriid","statusid","periodeid","lovnummer","nummernumerisk","statsbudgetsag","deltundersagid"
2651,"Forslag til lov om ændring af sundhedsloven, lov om klage- og erstatningsadgang inden for sundhedsvæsenet og lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed. (Ændring af regler om patienters retsstilling, nedlæggelse af Lægemiddelskadeankenævnet, oplysningspligt ved erstatningsudbetalinger i patientskadesager, afbrydelse af forældelse i sager om patient- og lægemiddelskadeserstatninger, offentliggørelse af Sundhedsstyrelsens tilsynsrapporter ved tilbagevendende tilsyn m.v.).","Om modernisering af reglerne om patienters retsstilling m.v.","O","L 126","L","","Loven indeholder en modernisering og opdatering af en række regler vedrørende patienters retssikkerhed samt læring og kompetenceudvikling i sundhedsvæsenet. Med loven indføres en skærpet tidsfrist for behandling af begæring om aktindsigt, og det fastsættes, at sundhedspersoner uden samtykke må videregive helbredsoplysninger til studerende, der deltager i behandling som led i en sundhedsvidenskabelig/sundhedsfaglig uddannelse. 

Loven medfører også, at Lægemiddelskadeankenævnet nedlægges og sagerne flyttes til Patientskadeankenævnet, som skifter navn til Ankenævnet for Patientforsikringen. Desuden opdateres oplysningspligten ved erstatningsudbetalinger i patientskadesager, så regioner og forsikringsselskaber forpligtes til at sikre, at Sundhedsstyrelsen oplyses om patienterstatningsudbetalinger i et omfang ud over det gennemsnitlige for skader forvoldt af private sundhedsaktører. Derudover afbrydes forældelsen i sager om patient- og lægemiddelskadeerstatninger, så en sag kan genoptages, hvis der er fastslået et ansvarsgrundlag, og hvis anmodningen fremsættes inden 10 år efter afgørelse. 

Endelig bliver der med loven skabt hjemmel til, at Sundhedsstyrelsen administrativt kan fastsætte regler om, at plejehjem, kosmetiske behandlingssteder og andre private behandlingssteder skal offentliggøre Sundhedsstyrelsens tilsynsrapporter fra de fast tilbagevendende tilsyn. 

Loven trådte i kraft den 1. juli 2014. Ændringerne vedrørende Ankenævnet for Patientforsikringen træder dog først i kraft den 1. januar 2015.
","Vedtaget

90 stemmer for forslaget (V, S, RV, SF, EL, KF, UFG)

18 stemmer imod forslaget (DF, LA)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:28.71",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-26T00:00:00",NULL,NULL,3,13,11,32,"519","126",False,NULL
2652,"Forslag til lov om ændring af lov om fremme af besparelser i energiforbruget, lov om varmeforsyning, lov om kommunal fjernkøling og forskellige andre love. (Implementering af EU's energieffektivitetsdirektiv m.v.).","Om implementering af EU’s energieffektivitetsdirektiv m.v.","O","L 121","L","","Lovens primære formål er at gennemføre dele af EU's energieffektiviseringsdirektiv. Loven gennemfører de dele i direktivet, der handler om energisyn og energiledelsessystemer i store virksomheder og om fremme af effektivitet under opvarmning og køling. Der indføres en pligt for store virksomheder og private institutioner til at få udført et obligatorisk energisyn hvert fjerde år. Loven udvider endvidere mulighederne for private og kommunale virksomheder for at etablere og drive varmepumper til produktion af varme og køling som kollektive varmeforsyningsanlæg.","Vedtaget

90 stemmer for forslaget (V, S, RV, SF, EL, KF, UFG)

18 stemmer imod forslaget (DF, LA)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:28.467",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-08T00:00:00",NULL,NULL,3,13,11,32,"345","121",False,NULL
2653,"Forslag til folketingsbeslutning om kortlægning af kompetencebalancen mellem Danmark og EU samt anvendelsen af nærheds- og proportionalitetsprincippet i praksis.","Om kortlægning af kompetencebalancen mellem Danmark og EU.","O","B 41","B","","Forslaget pålagde regeringen inden udgangen af første halvår af 2014 at iværksætte en kortlægning af kompetencebalancen mellem Danmark og EU og anvendelsen af nærheds- og proportionalitetsprincipperne i praksis, som det var sket i undersøgelser i henholdsvis Storbritannien og Holland.",NULL,NULL,NULL,"2017-12-05T19:45:30.93",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"41",False,NULL
2654,"Forslag til folketingsbeslutning om afskaffelse af 4-årsreglen for nyuddannede læger.","Om afskaffelse af 4-årsreglen for nyuddannede læger.","O","B 43","B","","Beslutningsforslaget havde til formål at sikre afskaffelse af 4-årsreglen for nyuddannede læger.","Forkastet

18 stemmer for forslaget (EL, LA, KF)

89 stemmer imod forslaget (V, S, DF, RV, SF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2018-10-02T12:56:01.947",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,3,32,NULL,"43",False,NULL
2655,"Forslag til folketingsbeslutning om oversættelse af verbalnote om det dansk-kinesiske forhold.","Om oversættelse af verbalnote om dansk-kinesiske forhold.","O","B 42","B","","Beslutningsforslaget pålagde regeringen at oversætte den danske verbalnote fra 2009 til de kinesiske myndigheder om det dansk-kinesiske forhold og oversende den til Folketinget inden den 5. juni 2014. Den fandtes kun på engelsk, og den danske regering havde indtil da afvist at oversætte den til dansk.",NULL,NULL,NULL,"2017-12-05T19:45:41.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"42",False,NULL
2656,"Forslag til lov om ændring af lov om forbud mod hold af ræve. (Ophævelse af revisionsbestemmelse m.v.).","Om forbud mod hold af ræve.","O","L 134","L","","Loven indebærer, at revisionsbestemmelsen i § 5 i lov om forbud mod hold af ræve ophæves. Det betyder, at forbuddet mod hold af ræve opretholdes for enhver form for landbrugsmæssigt og andet erhvervsmæssigt rævehold samt for hold af ræve med henblik på enhver form for træning af hunde til gravjagt m.v. Endvidere betyder loven, at privates hold af ræve som familiedyr bliver undtaget fra forbuddet mod hold af ræve.","Vedtaget  66 stemmer for forslaget (S, DF, RV, SF, EL, UFG)  35 stemmer imod forslaget (V, LA, KF)  0 stemmer hverken for eller imod forslaget  ",NULL,NULL,"2017-12-05T19:45:58.437",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-15T00:00:00",NULL,NULL,3,13,11,32,"378","134",False,NULL
2657,"Forslag til lov om ændring af byggeloven. (Ændring af byggelovens dispensationsbestemmelse i forbindelse med kravet om etablering af parkeringspladser på egen grund m.v.).","Om etablering af parkeringspladser på egen grund m.v.","O","L 130","L","","Loven ændrer en dispensationsbestemmelse i byggeloven, så der skabes ens og klare regler for, hvornår og hvordan kommunerne kan dispensere fra kravet om tilvejebringelse af parkeringsarealer på egen grund.","Vedtaget

97 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

7 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:58.777",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-08T00:00:00",NULL,NULL,3,13,11,32,"346","130",False,NULL
2658,"Forslag til folketingsbeslutning om at opfordre finansministeren til at meddele Finansudvalget, at den endelige behandling af aktstykke 37 af 3. december 2013 om kapitaludvidelse i DONG Energy A/S kan udskydes.","Om at den endelige behandling af aktstykke 37 af 3. december 2013 om kapitaludvidelse i DONG Energy A/S kan udskydes.","O","B 44","B","","Efter beslutningsforslaget skulle Folketinget opfordre finansministeren til at meddele Finansudvalget, at den endelige behandling af aktstykke 37 om kapitaludvidelse i DONG Energy A/S kunne udskydes.",NULL,NULL,NULL,"2021-02-11T13:18:36.157",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,4,32,NULL,"44",False,NULL
2659,"Forslag til lov om ændring af udlændingeloven. (Ændring af reglerne om afvisning m.v. til gennemførelse af direktiv 2008/115/EF om fælles standarder og procedurer i medlemsstaterne for tilbagesendelse af tredjelandsstatsborgere med ulovligt ophold (udsendelsesdirektivet) m.v.)","Om tilbagesendelse af borgere med ulovligt ophold m.v.","O","L 131","L","","Loven gennemfører Europa-Parlamentets og Rådets direktiv 2008/115/EF om fælles standarder og procedurer i medlemsstaterne for tilbagesendelse af tredjelandsstatsborgere med ulovligt ophold fuldt ud i dansk ret. Det indebærer, at adgangen til at afvise udlændinge indtil 3 måneder efter indrejsen ophæves, så der i stedet skal ske udvisning.

Desuden bliver gentagelsesvirkningen af et indrejseforbud udvidet til også at omfatte indrejseforbud udstedt af et andet Schengenland, og varigheden af et indrejseforbud begrænses til 5 år, hvis en tredjelandsstatsborger er udvist administrativt som værende en trussel mod den offentlige sundhed. 

Loven indebærer også, at et indrejseforbud kan ophæves, hvis en udlænding kan påvise at have forladt landet i overensstemmelse med en afgørelse om tilbagesendelse, og at udrejsefristen under visse omstændigheder kan forlænges, f.eks. på grund af familiemæssig og social tilknytning. 

Derudover ændres udlændingeloven som følge af EU-Domstolens dom i Achughbabiansagen, som slog fast, at en tredjelandsstatsborger ikke må straffes med fængsel alene på grund af ulovligt ophold, når pågældende ikke tidligere har været undergivet tvangsforanstaltninger med henblik på udsendelse.","Vedtaget

78 stemmer for forslaget (V, S, RV, SF, UFG)

31 stemmer imod forslaget (DF, EL, LA, KF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:58.603",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-26T00:00:00",NULL,NULL,3,13,11,32,"516","131",False,NULL
2660,"Forslag til lov om ændring af lov om leje, lov om midlertidig regulering af boligforholdene, lov om byfornyelse og udvikling af byer og forskellige andre love. (Energisparepakke omfattende bl.a. totaløkonomisk rentable energiforbedringer og aftalt grøn byfornyelse).","Om en energisparepakke og grøn byfornyelse.","O","L 129","L","","Loven indeholder en række elementer, der har til formål at give såvel udlejere som lejere incitamenter til at gennemføre energibesparelser i private udlejningsejendomme. 

Loven er en opfølgning på en del af energiaftalen af 22. marts 2012 om den danske energipolitik 2012-2020 og aftalen af 12. november 2013 om udmøntningen af energisparepakken.","Vedtaget

94 stemmer for forslaget (V, S, DF, RV, SF, KF)

13 stemmer imod forslaget (EL, LA)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:58.937",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-06T00:00:00",NULL,NULL,3,13,11,32,"439","129",False,NULL
2661,"Forslag til lov om ændring af lov om erhvervsfremme og regional udvikling. (Ophævelse af reglerne om industrisamarbejde i forbindelse med anskaffelse af forsvarsmateriel og forsvarstjenesteydelser).","Om industrisamarbejde ved anskaffelse af forsvarsmateriel.","O","L 132","L","","Loven ophæver bemyndigelsen i lov om erhvervsfremme og regional udvikling til ministeren til at fastsætte regler for industrisamarbejde i forbindelse med forsvarets anskaffelser af forsvarsmateriel og forsvarstjenesteydelser fra udenlandske leverandører. Fremover vil grundlaget for industrisamarbejde alene bestå i administrative retningslinjer.

Det fremgår af lovforslagets bemærkninger, at indholdet af retningslinjerne for industrisamarbejde vil blive ændret, så der alene kan stilles krav om industrisamarbejde, hvis en konkret vurdering i overensstemmelse med EU-retten viser, at dette er nødvendigt for at varetage væsentlige danske sikkerhedsinteresser.

Baggrunden for ændringerne er, at de danske regler efter Kommissionens opfattelse ikke er i overensstemmelse med EU-retten. Ændringerne bringer reglerne for industrisamarbejde på linje med tilsvarende regler i andre EU-medlemsstater. 

Loven trådte i kraft den 2. april 2014.
","Vedtaget

110 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:59.11",NULL,NULL,NULL,NULL,NULL,NULL,"2014-03-29T00:00:00",NULL,NULL,3,13,11,32,"313","132",False,NULL
2662,"Forslag til lov om ændring af lov om almene boliger m.v. (Ommærkning af almene ældreboliger og almene familieboliger til almene ungdomsboliger m.v.).","Om ommærkning af almene boliger til ungdomsboliger.","O","L 128","L","","Loven medfører, at kommunalbestyrelsen og en almen boligorganisation i en periode frem til 2017 kan aftale, at almene ældre- og familieboliger med et bruttoetageareal på mellem 50 og 65 m2 kan ommærkes til almene ungdomsboliger. Ommærkningen af de pågældende boliger er tidsbegrænset. 

Loven udmønter regeringens aftale af 26. november 2013 med Venstre og Det Konservative Folkeparti om finansloven for 2014.","Vedtaget

107 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:59.29",NULL,NULL,NULL,NULL,NULL,NULL,"2014-03-24T00:00:00",NULL,NULL,3,13,11,32,"263","128",False,NULL
2663,"Forslag til folketingsbeslutning om forsikring af fredede bygninger.","Om forsikring af fredede bygninger.","O","B 46","B","","Formålet med forslaget var at styrke retsstillingen for ejere af fredede bygninger ved at finde en ordning, hvorefter ejere af fredede bygninger kunne ligestilles mest muligt med ejere af ikkefredede bygninger, når det gjaldt forsikringsforhold, og så der blev et mere rimeligt og forudseeligt forhold mellem forsikringspræmie og det forsikrede. Der blev lagt op til en nærmere undersøgelse af, hvordan dette bedst kunne opnås. Et konkret forslag var at lade alle borgere indbetale til en fond til sikring af fredede bygninger. En sådan ordning kunne evt. indarbejdes i lov om stormflod og stormfald.",NULL,NULL,NULL,"2017-12-05T19:46:09.263",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"46",False,NULL
2664,"Forslag til lov om ændring af lov om finansiel virksomhed og forskellige andre love. (Gennemførelse af kreditinstitut- og kapitalkravsdirektiv (CRD IV) og ændringer som følge af den tilhørende forordning (CRR) samt lovgivning vedrørende SIFI'er m.v.).","Om kreditinstitut- og kapitalkravsdirektiv (CRD IV) og SIFI'er m.v.","O","L 133","L","","Loven implementerer kapitalkravsdirektivet (CRD IV) og gennemfører en række konsekvensrettelser i dansk lovgivning som følge af kapitalkravsforordningen (CRR). Der gennemføres bl.a. en ændring af reglerne om adgang til at udøve virksomhed som kreditinstitut eller fondsmæglerselskab, og der indføres højere krav til kapital og likviditet og fastsættelse af en kontracyklisk kapitalbuffer m.v.

Loven indfører desuden begrænsninger på antallet af bestyrelsesposter, og der bliver stillet krav om etablering af nominerings- og risikoudvalg samt etablering af whistleblowerordninger i finansielle virksomheder. 

Loven følger derudover op på den politiske aftale af 10. oktober 2013 (Bankpakke VI) om regulering af systemisk vigtige finansielle institutter (SIFI) og krav til alle banker og realkreditinstitutter om mere og bedre kapital og højere likviditet. Herunder indføres der med loven regler om identifikation af og krav til SIFI'er i Danmark. 

Endelig indebærer loven, at der bliver etableret en bestyrelse i Finanstilsynet, og at Det Finansielle Råd nedlægges. 

Formålet med loven er overordnet at gøre den finansielle sektor bedre polstret og dermed mere modstandsdygtig i lyset af erfaringerne fra den finansielle krise. 

Loven trådte i kraft den 31. marts 2014.
","Vedtaget

102 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

0 stemmer imod forslaget

7 stemmer hverken for eller imod forslaget (EL)

",NULL,NULL,"2017-12-05T19:45:59.553",NULL,NULL,NULL,NULL,NULL,NULL,"2014-03-25T00:00:00",NULL,NULL,3,13,11,32,"268","133",False,NULL
2665,"Forslag til folketingsbeslutning om indførelse af beskyttelseszoner for fredede bygninger.","Om indførelse af beskyttelseszoner for fredede bygninger.","O","B 47","B","","Med beslutningsforslaget foresloges en ændring af lov om bygningsfredning og bevaring af bygninger og bymiljøer, så det i videre omfang blev muligt at omfatte de fredede bygningers omgivelser af en fredningsafgørelse. Der blev konkret foreslået en ordning med etablering af beskyttelseszoner omkring fredede bygninger og bygningshelheder, så nye bygningsanlæg ikke kunne opføres alt for tæt på fredede bygninger og dermed ødelægge forståelsen og oplevelsen af disse. ",NULL,NULL,NULL,"2017-12-05T19:46:09.677",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"47",False,NULL
2666,"Forslag til folketingsbeslutning om fair konkurrence.","Om fair konkurrence.","O","B 48","B","","Forslaget pålagde regeringen i folketingssamlingen 2013-14 at fremsætte lovforslag, som skulle sikre, at virksomheder fra andre EU-/EØS-lande, der udførte service- og tjenesteydelser i Danmark, skulle følge de samme love og regler som danske virksomheder.
",NULL,NULL,NULL,"2017-12-05T19:46:13.557",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"48",False,NULL
